"site","tag","date","Tcham","wt_calculated_kg","volume_m3","resp","date_since_start","methane","avg_wt","species_code","initial_weight","final_weight","wood_density","mean_C","mean_N","mean_S.G","mean_pH","mean_C.N","season"
"201963","tm3",2019-06-03,24.9118128654971,2.45200535817422,0.00235383829570215,0.000225182821224168,34,7.6322557870306e-07,2.46205736513781,"CAAU",324.88,13.78,0.535,48.635,0.37,2.263,4.43,131.446,"DRY"
"201963","tm7",2019-06-03,25.467485380117,3.02141138864023,0.0030306551630099,0.000140566648767138,34,6.40984126174697e-07,3.12742689548508,"SYSA",339.04,247.75,0.569,49.675,0.335,1.609,4.15,148.284,"DRY"
"201963","tm2",2019-06-03,25.6116959064328,2.80286651532821,0.0027708847204662,0.000255211439248575,34,7.04939516978322e-07,3.35852936052138,"ALSC",163.98,119.84,0.278,50.01,0.39,0.574,5.925,128.231,"DRY"
"201963","tm5",2019-06-03,25.3981871345029,3.23995626195225,0.00329042560555361,0.000163628234607538,34,6.42640351521463e-07,3.94514382575374,"CASU",253.72,116.33,0.475,50.04,0.385,2.8,4.98,129.974,"DRY"
"201963","tm10",2019-06-03,25.7227485380117,3.1527761845984,0.00318680017187495,0.000198531163980838,34,2.10779719110501e-06,3.41530576583248,"SYSA",267.56,213.6,0.569,49.675,0.335,1.609,4.15,148.284,"DRY"
"201963","tm8",2019-06-03,25.5781871345029,1.57851305062,0.00131557333961726,0.000103494110179388,34,1.90769215464736e-07,1.741670294478,"NONO",499.97,425.42,0.611,46.87,0.25,3.019,4.25,187.48,"DRY"
"201963","tm6",2019-06-03,26.1601169590643,3.28581104001928,0.00334493027459798,0.000254673514637582,34,1.49569360903691e-06,3.00452439489353,"NONO",512.96,247.65,0.611,46.87,0.25,3.019,4.25,187.48,"DRY"
"201963","tm1",2019-06-03,25.9243859649123,1.5046471960847,0.00122777367893106,5.29716285170102e-05,34,3.05017715605765e-07,1.37245097151251,"CASU",257.97,230.66,0.475,50.04,0.385,2.8,4.98,129.974,"DRY"
"201963","tm9",2019-06-03,25.8383040935673,3.34997204851749,0.00342119439975928,4.60554963841399e-05,34,1.45737603264536e-06,3.82879636636948,"CAAU",260.62,228.65,0.535,48.635,0.37,2.263,4.43,131.446,"DRY"
"201963","tm4",2019-06-03,26.0150292397661,0.590368104955675,0.000141028057715054,-3.96065395189112e-05,34,4.03499038270204e-08,0.719268018690398,"ALSC",150.48,131.44,0.278,50.01,0.39,0.574,5.925,128.231,"DRY"
"2019711","tm3",2019-07-11,24.7501169590643,2.55147581773833,0.00247207252791909,0.000132966758236907,72,4.95723641087499e-07,2.46205736513781,"CAAU",324.88,13.78,0.535,48.635,0.37,2.263,4.43,131.446,"DRY"
"2019711","tm7",2019-07-11,25.7404093567251,3.01827114824593,0.00302692255823836,3.59120314632992e-05,72,2.39284865157598e-07,3.12742689548508,"SYSA",339.04,247.75,0.569,49.675,0.335,1.609,4.15,148.284,"DRY"
"2019711","tm10",2019-07-11,25.6995321637427,3.11684727527481,0.00314409375404113,0.000199919278444337,72,1.71706783789072e-06,3.41530576583248,"SYSA",267.56,213.6,0.569,49.675,0.335,1.609,4.15,148.284,"DRY"
"2019711","tm8",2019-07-11,23.8222222222222,1.46676046828908,0.0011827401263391,5.88217781558563e-05,72,6.29221965680403e-10,1.741670294478,"NONO",499.97,425.42,0.611,46.87,0.25,3.019,4.25,187.48,"DRY"
"2019711","tm2",2019-07-11,23.1916959064327,3.89425483431813,0.00406814885809834,0.00015601807371697,72,5.88365480078066e-07,3.35852936052138,"ALSC",163.98,119.84,0.278,50.01,0.39,0.574,5.925,128.231,"DRY"
"2019711","tm1",2019-07-11,23.3441520467836,1.46957297396785,0.0011860831736216,3.21527243771782e-05,72,1.0523296346921e-07,1.37245097151251,"CASU",257.97,230.66,0.475,50.04,0.385,2.8,4.98,129.974,"DRY"
"2019711","tm6",2019-07-11,23.4295906432749,1.95782633852173,0.0017664390092972,0.00022179517981562,72,1.77809580311541e-06,3.00452439489353,"NONO",512.96,247.65,0.611,46.87,0.25,3.019,4.25,187.48,"DRY"
"2019711","tm9",2019-07-11,23.1554970760234,3.4188240905095,0.00350303445918163,6.51432047172618e-05,72,4.62513331261691e-07,3.82879636636948,"CAAU",260.62,228.65,0.535,48.635,0.37,2.263,4.43,131.446,"DRY"
"2019711","tm4",2019-07-11,23.1012280701754,0.718346859482887,0.000293148293691771,-2.76141133505047e-05,72,2.10928645081919e-08,0.719268018690398,"ALSC",150.48,131.44,0.278,50.01,0.39,0.574,5.925,128.231,"DRY"
"201989","tm3",2019-08-09,26.9522807017544,2.15014582703631,0.00199503699873566,0.000209604809275612,106,6.88703669431836e-07,2.46205736513781,"CAAU",324.88,13.78,0.535,48.635,0.37,2.263,4.43,131.446,"DRY"
"2019814","tm7",2019-08-14,24.7602339181287,3.13905890094017,0.00317049530600282,6.80656260365429e-05,106,7.03757384731242e-07,3.12742689548508,"SYSA",339.04,247.75,0.569,49.675,0.335,1.609,4.15,148.284,"DRY"
"2019814","tm5",2019-08-14,25.942514619883,3.96711766204259,0.0041547562843725,6.20161715481182e-05,106,7.73472600525554e-07,3.94514382575374,"CASU",253.72,116.33,0.475,50.04,0.385,2.8,4.98,129.974,"DRY"
"2019814","tm10",2019-08-14,26.4520467836257,3.02868762792946,0.00303930396758524,0.000172444238164759,106,1.16961057761925e-06,3.41530576583248,"SYSA",267.56,213.6,0.569,49.675,0.335,1.609,4.15,148.284,"DRY"
"2019814","tm2",2019-08-14,27.0668421052632,3.01352593280318,0.00302128222132792,4.69073349849589e-05,106,3.67030801657118e-07,3.35852936052138,"ALSC",163.98,119.84,0.278,50.01,0.39,0.574,5.925,128.231,"DRY"
"2019814","tm8",2019-08-14,27.8585380116959,1.85380690789091,0.00164279770342436,4.53977143341501e-06,106,6.57208616316614e-10,1.741670294478,"NONO",499.97,425.42,0.611,46.87,0.25,3.019,4.25,187.48,"DRY"
"2019814","tm1",2019-08-14,27.8281286549708,1.2908957733651,0.000973700907363722,-1.23937420379225e-05,106,5.71350771360064e-08,1.37245097151251,"CASU",257.97,230.66,0.475,50.04,0.385,2.8,4.98,129.974,"DRY"
"2019814","tm9",2019-08-14,28.3521637426901,3.96785770817444,0.00415563593031551,-1.92702149278327e-05,106,-2.22396122269411e-09,3.82879636636948,"CAAU",260.62,228.65,0.535,48.635,0.37,2.263,4.43,131.446,"DRY"
"2019814","tm6",2019-08-14,27.3787719298246,3.23308440501364,0.00328225746465428,0.0001326887695787,106,7.65886592150294e-07,3.00452439489353,"NONO",512.96,247.65,0.611,46.87,0.25,3.019,4.25,187.48,"DRY"
"2019814","tm4",2019-08-14,26.2752046783626,0.743556002359985,0.00032311280442171,5.02667738224558e-06,106,8.49519557385762e-10,0.719268018690398,"ALSC",150.48,131.44,0.278,50.01,0.39,0.574,5.925,128.231,"DRY"
"2019911","tm3",2019-09-11,25.472514619883,2.35611321988425,0.0022398573872391,7.92148793910851e-05,134,3.48308057822728e-07,2.46205736513781,"CAAU",324.88,13.78,0.535,48.635,0.37,2.263,4.43,131.446,"DRY"
"2019911","tm7",2019-09-11,26.272514619883,3.26803836963407,0.003323805027498,6.28235333813731e-05,134,6.58824512076182e-07,3.12742689548508,"SYSA",339.04,247.75,0.569,49.675,0.335,1.609,4.15,148.284,"DRY"
"2019911","tm5",2019-09-11,26.5770760233918,3.79140791427746,0.00394590124126644,5.6728987053722e-05,134,5.32500223287398e-07,3.94514382575374,"CASU",253.72,116.33,0.475,50.04,0.385,2.8,4.98,129.974,"DRY"
"2019911","tm10",2019-09-11,27.6995906432749,4.40551570450686,0.00467585225782344,0.000112965921612585,134,6.20347364814416e-07,3.41530576583248,"SYSA",267.56,213.6,0.569,49.675,0.335,1.609,4.15,148.284,"DRY"
"2019911","tm2",2019-09-11,27.3193567251462,2.91850533098456,0.00290833725304239,6.00971736474329e-05,134,2.83603330983532e-07,3.35852936052138,"ALSC",163.98,119.84,0.278,50.01,0.39,0.574,5.925,128.231,"DRY"
"2019911","tm8",2019-09-11,26.2904678362573,1.93719755259641,0.00174191887863593,6.01441464249769e-07,134,-4.71452279661482e-10,1.741670294478,"NONO",499.97,425.42,0.611,46.87,0.25,3.019,4.25,187.48,"DRY"
"2019911","tm1",2019-09-11,26.9350877192982,1.32430720432945,0.001013414958195,1.17850168205062e-05,134,6.31333926939694e-08,1.37245097151251,"CASU",257.97,230.66,0.475,50.04,0.385,2.8,4.98,129.974,"DRY"
"2019911","tm9",2019-09-11,27.5607602339181,3.96921721256397,0.0041572518870367,7.44462211287833e-06,134,7.62014489247662e-10,3.82879636636948,"CAAU",260.62,228.65,0.535,48.635,0.37,2.263,4.43,131.446,"DRY"
"2019911","tm6",2019-09-11,27.9804093567251,3.20848778246175,0.00325302101802181,0.00011846950273979,134,5.53998657604571e-07,3.00452439489353,"NONO",512.96,247.65,0.611,46.87,0.25,3.019,4.25,187.48,"DRY"
"2019911","tm4",2019-09-11,26.6885380116959,0.791526849835276,0.000380132711084365,2.0905404206793e-06,134,7.22586668761141e-10,0.719268018690398,"ALSC",150.48,131.44,0.278,50.01,0.39,0.574,5.925,128.231,"DRY"
"20191223","tm4",2019-12-23,30.3297660818713,0.752542276818166,0.000333794219443916,-0.000480793610224556,237,2.24068515048182e-08,0.719268018690398,"ALSC",150.48,131.44,0.278,50.01,0.39,0.574,5.925,128.231,"WET"
"20191223","tm6",2019-12-23,30.0591228070175,3.33741240845123,0.00340626555146943,0.00027266659739915,237,2.66790933796157e-06,3.00452439489353,"NONO",512.96,247.65,0.611,46.87,0.25,3.019,4.25,187.48,"WET"
"20191223","tm9",2019-12-23,30.8147368421053,4.43811077208201,0.00471459594922384,-0.000145769930570818,237,2.09980509627118e-09,3.82879636636948,"CAAU",260.62,228.65,0.535,48.635,0.37,2.263,4.43,131.446,"WET"
"20191223","tm1",2019-12-23,29.9978947368421,1.27283170981547,0.000952229299673681,-0.000789571290337061,237,4.20083026821237e-07,1.37245097151251,"CASU",257.97,230.66,0.475,50.04,0.385,2.8,4.98,129.974,"WET"
"20191223","tm8",2019-12-23,29.9929824561404,1.87207349299359,0.00166451003565148,-0.000256969259588803,237,7.7855911676396e-09,1.741670294478,"NONO",499.97,425.42,0.611,46.87,0.25,3.019,4.25,187.48,"WET"
"20191223","tm2",2019-12-23,30.4691812865497,4.16349418917284,0.00438817661853422,-7.92786416700217e-05,237,2.46205307273057e-09,3.35852936052138,"ALSC",163.98,119.84,0.278,50.01,0.39,0.574,5.925,128.231,"WET"
"20191223","tm10",2019-12-23,30.6078947368421,3.37270203685289,0.00344821209658016,0.000168110582642936,237,2.1850595644462e-09,3.41530576583248,"SYSA",267.56,213.6,0.569,49.675,0.335,1.609,4.15,148.284,"WET"
"20191223","tm5",2019-12-23,30.2729239766082,4.78209346474265,0.00512346637910691,0.000300327151509071,237,1.91714333733885e-06,3.94514382575374,"CASU",253.72,116.33,0.475,50.04,0.385,2.8,4.98,129.974,"WET"
"20191223","tm7",2019-12-23,30.9143274853801,3.19035466996499,0.00323146733622369,6.97335946200301e-05,237,2.07501992103238e-06,3.12742689548508,"SYSA",339.04,247.75,0.569,49.675,0.335,1.609,4.15,148.284,"WET"
"20191223","tm3",2019-12-23,32.578947368421,2.80054660285596,0.00276812718751451,0.000778598571988306,237,2.84982949476081e-06,2.46205736513781,"CAAU",324.88,13.78,0.535,48.635,0.37,2.263,4.43,131.446,"WET"
