genus,mound_id,total_ht,first_half_ht,second_half_ht,maximum_diameter,mound_wt,sand_wt,bucket_wt,total_weight,vermiculite_wt,measurement_date
Microcerotermes,NC1,,,,,,11.8,0.8,12.65,0.05,30/04/2019
Microcerotermes,NC2,,,,,,11.56,0.79,12.4,0.05,30/04/2019
Microcerotermes,TM1,19,9.5,9.5,12.3,0.92,12.04,0.8,13.81,0.05,30/04/2019
Microcerotermes,TM10,21,6,15,22,4.75,12.91,0.81,18.52,0.05,30/04/2019
Microcerotermes,TM2,20,8,12,23.5,4.75,12.11,0.8,17.71,0.05,30/04/2019
Microcerotermes,TM3,19,7.5,11.5,19,2.88,12.06,0.79,15.78,0.05,30/04/2019
Microcerotermes,TM4,8,4,4,6.5,0.6,12.26,0.79,13.7,0.05,30/04/2019
Microcerotermes,TM5,20,7,13,22.3,3.77,12.04,0.8,16.66,0.05,30/04/2019
Microcerotermes,TM6,23.9,7,16.9,24.2,4.83,12.04,0.8,17.72,0.05,30/04/2019
Microcerotermes,TM7,20,5,15,23.1,3.45,12.09,0.8,16.39,0.05,30/04/2019
Microcerotermes,TM8,17,3,14,17.2,2.43,12.08,0.8,15.36,0.05,30/04/2019
Microcerotermes,TM9,20,4,16,23.7,3.48,12.29,0.8,16.62,0.05,30/04/2019
Microcerotermes,NC1,,,,,,11.8,0.8,12.65,0.05,03/06/2019
Microcerotermes,NC2,,,,,,11.56,0.79,12.4,0.05,03/06/2019
Microcerotermes,TM1,18.5,,,13,,12.04,,,,03/06/2019
Microcerotermes,TM10,19.5,,,20.4,,12.91,,,,03/06/2019
Microcerotermes,TM2,16,,,21,,12.11,,,,03/06/2019
Microcerotermes,TM3,18.5,,,18,,12.06,,,,03/06/2019
Microcerotermes,TM4,8.5,,,6.5,,12.26,,,,03/06/2019
Microcerotermes,TM5,19,,,21,,12.04,,,,03/06/2019
Microcerotermes,TM6,19.5,,,20.9,,12.04,,,,03/06/2019
Microcerotermes,TM7,17.5,,,21,,12.09,,,,03/06/2019
Microcerotermes,TM8,14.5,,,15.2,,12.08,,,,03/06/2019
Microcerotermes,TM9,18,,,22,,12.29,,,,03/06/2019
Microcerotermes,NC1,,,,,,11.8,0.8,12.65,0.05,11/07/2019
Microcerotermes,NC2,,,,,,11.56,0.79,12.4,0.05,11/07/2019
Microcerotermes,TM1,17.6,,,13.1,,12.04,,,,11/07/2019
Microcerotermes,TM10,16.1,,,22.3,,12.91,,,,11/07/2019
Microcerotermes,TM2,18.6,,,23.6,,12.11,,,,11/07/2019
Microcerotermes,TM3,16.9,,,19.3,,12.06,,,,11/07/2019
Microcerotermes,TM4,8.1,,,9.6,,12.26,,,,11/07/2019
Microcerotermes,TM5,16.6,,,22.9,,12.04,,,,11/07/2019
Microcerotermes,TM6,10.2,,,21,,12.04,,,,11/07/2019
Microcerotermes,TM7,15.5,,,22.3,,12.09,,,,11/07/2019
Microcerotermes,TM8,10.3,,,17.1,,12.08,,,,11/07/2019
Microcerotermes,TM9,18.1,,,22.2,,12.29,,,,11/07/2019
Microcerotermes,NC2,,,,,,11.56,0.79,12.4,0.05,09/08/2019
Microcerotermes,TM3,18,,,16.8,,12.06,,,,09/08/2019
Microcerotermes,NC1,,,,,,11.8,0.8,12.65,0.05,14/08/2019
Microcerotermes,TM1,14.9,,,12.9,,12.04,,,,14/08/2019
Microcerotermes,TM10,16.9,,,21.4,,12.91,,,,14/08/2019
Microcerotermes,TM2,14.8,,,22.8,,12.11,,,,14/08/2019
Microcerotermes,TM4,6.8,,,11,,12.26,,,,14/08/2019
Microcerotermes,TM5,20,,,23,,12.04,,,,14/08/2019
Microcerotermes,TM6,15.8,,,23,,12.04,,,,14/08/2019
Microcerotermes,TM7,15,,,23.2,,12.09,,,,14/08/2019
Microcerotermes,TM8,15,,,16.7,,12.08,,,,14/08/2019
Microcerotermes,TM9,19,,,23.6,,12.29,,,,14/08/2019
Microcerotermes,NC1,,,,,,11.8,0.8,12.65,0.05,11/09/2019
Microcerotermes,NC2,,,,,,11.56,0.79,12.4,0.05,11/09/2019
Microcerotermes,TM1,16,,,12.7,,12.04,,,,11/09/2019
Microcerotermes,TM10,26,,,21.4,,12.91,,,,11/09/2019
Microcerotermes,TM2,14.5,,,22.6,,12.11,,,,11/09/2019
Microcerotermes,TM3,15,,,19.5,,12.06,,,,11/09/2019
Microcerotermes,TM4,8,,,11,,12.26,,,,11/09/2019
Microcerotermes,TM5,19.5,,,22.7,,12.04,,,,11/09/2019
Microcerotermes,TM6,15,,,23.5,,12.04,,,,11/09/2019
Microcerotermes,TM7,16,,,23,,12.09,,,,11/09/2019
Microcerotermes,TM8,14,,,17.8,,12.08,,,,11/09/2019
Microcerotermes,TM9,19.5,,,23.3,,12.29,,,,11/09/2019
Microcerotermes,TM1,17,,,13.5,,,,,,04/03/2020
Microcerotermes,TM10,13,,,23.6,,,,,,04/03/2020
Microcerotermes,TM2,17,,,23,,,,,,04/03/2020
Microcerotermes,TM3,18,,,19.5,,,,,,04/03/2020
Microcerotermes,TM4,9,,,11.5,,,,,,04/03/2020
Microcerotermes,TM5,19,,,23.5,,,,,,04/03/2020
Microcerotermes,TM6,18,,,25,,,,,,04/03/2020
Microcerotermes,TM7,16,,,24,,,,,,04/03/2020
Microcerotermes,TM8,15,,,18,,,,,,04/03/2020
Microcerotermes,TM9,20,,,24.5,,,,,,04/03/2020
Microcerotermes,TM10,15.5,,,22.3,,,,,,29/10/2019
Microcerotermes,TM5,18.5,,,23,,,,,,29/10/2019
Microcerotermes,TM3,17.5,,,19,,,,,,29/10/2019
Microcerotermes,TM7,23.1,,,16.5,,,,,,29/10/2019
Microcerotermes,TM2,16.5,,,23,,,,,,29/10/2019
Microcerotermes,TM8,16,,,17.2,,,,,,29/10/2019
Microcerotermes,TM1,17,,,13.5,,,,,,29/10/2019
Microcerotermes,TM9,20,,,23.8,,,,,,29/10/2019
Microcerotermes,TM6,16,,,23,,,,,,29/10/2019
Microcerotermes,TM4,8,,,11.5,,,,,,29/10/2019
Microcerotermes,TM3,17.8,,,19.9,,,,,,23/12/2019
Microcerotermes,TM7,16.4,,,22.4,,,,,,23/12/2019
Microcerotermes,TM5,19.3,,,26,,,,,,23/12/2019
Microcerotermes,TM10,17.5,,,22.4,,,,,,23/12/2019
Microcerotermes,TM2,19.4,,,24,,,,,,23/12/2019
Microcerotermes,TM8,14,,,17.4,,,,,,23/12/2019
Microcerotermes,TM1,14.8,,,12.8,,,,,,23/12/2019
Microcerotermes,TM9,20.5,,,24.2,,,,,,23/12/2019
Microcerotermes,TM6,17.6,,,22.2,,,,,,23/12/2019
Microcerotermes,TM4,8.5,,,10,,,,,,23/12/2019
