ID,species,location,latitude,longitude,new_subfamily_names,new_feeding_groups,reference
1,Microcerotermes nervosus,"Darwin, Australia",-12.37,130.867,Amitermitinae,Wood feeder,"Nauer, P. A., Hutley, L. B., & Arndt, S. K. (2018). Termite mounds mitigate half of termite methane emissions. Proceedings of the National Academy of Sciences, 115(52), 13306-13311."
2,Macrognathotermes sunteri,"Darwin, Australia",-12.37,130.867,Termitinae,Soil feeder,"Nauer, P. A., Hutley, L. B., & Arndt, S. K. (2018). Termite mounds mitigate half of termite methane emissions. Proceedings of the National Academy of Sciences, 115(52), 13306-13311."
3,Tumulitermes pastinator,"Darwin, Australia",-12.37,130.867,Nasutitermitinae,Grass feeder,"Nauer, P. A., Hutley, L. B., & Arndt, S. K. (2018). Termite mounds mitigate half of termite methane emissions. Proceedings of the National Academy of Sciences, 115(52), 13306-13311."
4,Coptotermes formosanus,"Kyoto, Japan",35.027,135.783,Heterotermitinae,Wood feeder,"Yanase, Y., Miura, M., Fujii, Y., Okumura, S., & Yoshimura, T. (2013). Evaluation of the concentrations of hydrogen and methane emitted by termite using a semiconductor gas sensor. Journal of wood science, 59(3), 243-248."
5,Reticulitermes speratus,"Kyoto, Japan",35.027,135.783,Heterotermitinae,Wood feeder,"Yanase, Y., Miura, M., Fujii, Y., Okumura, S., & Yoshimura, T. (2013). Evaluation of the concentrations of hydrogen and methane emitted by termite using a semiconductor gas sensor. Journal of wood science, 59(3), 243-248."
6,Incisitermes minor,"Kyoto, Japan",35.027,135.783,Kalotermitinae,Wood feeder,"Yanase, Y., Miura, M., Fujii, Y., Okumura, S., & Yoshimura, T. (2013). Evaluation of the concentrations of hydrogen and methane emitted by termite using a semiconductor gas sensor. Journal of wood science, 59(3), 243-248."
7,Zootermopsis nevadensis,"Kyoto, Japan",35.027,135.783,Archotermopsinae,Wood feeder,"Yanase, Y., Miura, M., Fujii, Y., Okumura, S., & Yoshimura, T. (2013). Evaluation of the concentrations of hydrogen and methane emitted by termite using a semiconductor gas sensor. Journal of wood science, 59(3), 243-248."
8,Microcerotermes nervosus,"Darwin, Australia",-12.24,130.55,Amitermitinae,Wood feeder,"Jamali, H., Livesley, S. J., Dawes, T. Z., Hutley, L. B., & Arndt, S. K. (2011). Termite mound emissions of CH4 and CO2 are primarily determined by seasonal changes in termite biomass and behaviour. Oecologia, 167(2), 525-534."
9,Reticulitermes santonensis,NA,,,Heterotermitinae,Wood feeder,"Pester, M., Tholen, A., Friedrich, M. W., & Brune, A. (2007). Methane oxidation in termite hindguts: absence of evidence and evidence of absence. Applied and Environmental Microbiology, 73(6), 2024-2028."
10,Zootermopsis nevadensis,NA,,,Archotermopsinae,Wood feeder,"Pester, M., Tholen, A., Friedrich, M. W., & Brune, A. (2007). Methane oxidation in termite hindguts: absence of evidence and evidence of absence. Applied and Environmental Microbiology, 73(6), 2024-2028."
11,Hodotermopsis sjoestedti,NA,,,Archotermopsinae,Wood feeder,"Pester, M., Tholen, A., Friedrich, M. W., & Brune, A. (2007). Methane oxidation in termite hindguts: absence of evidence and evidence of absence. Applied and Environmental Microbiology, 73(6), 2024-2028."
12,Cryptotermes secundus,NA,,,Kalotermitinae,Wood feeder,"Pester, M., Tholen, A., Friedrich, M. W., & Brune, A. (2007). Methane oxidation in termite hindguts: absence of evidence and evidence of absence. Applied and Environmental Microbiology, 73(6), 2024-2028."
13,Cubitermes orthognathus,NA,,,Cubitermitinae,Soil feeder,"Pester, M., Tholen, A., Friedrich, M. W., & Brune, A. (2007). Methane oxidation in termite hindguts: absence of evidence and evidence of absence. Applied and Environmental Microbiology, 73(6), 2024-2028."
14,Reticulitermes santonensis,"Royan, France",45.738,1.215,Heterotermitinae,Wood feeder,"Pester, M., & Brune, A. (2007). Hydrogen is the central free intermediate during lignocellulose degradation by termite gut symbionts. The ISME journal, 1(6), 551-565."
15,Zootermopsis nevadensis,"California, USA",34.676,-119.444,Archotermopsinae,Wood feeder,"Pester, M., & Brune, A. (2007). Hydrogen is the central free intermediate during lignocellulose degradation by termite gut symbionts. The ISME journal, 1(6), 551-565."
16,Cryptotermes secundus,"Darwin, Australia",-12.412,130.832,Kalotermitinae,Wood feeder,"Pester, M., & Brune, A. (2007). Hydrogen is the central free intermediate during lignocellulose degradation by termite gut symbionts. The ISME journal, 1(6), 551-565."
17,Schedorhinotermes putorius,"Mbalmayo, Cameroon",3.517,11.5,Rhinotermitinae,Wood feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
18,Nasutitermes lujae,"Brazzaville, Congo",-4.158,12.04,Nasutitermitinae,Wood feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
19,Microcerotermes parvus,"Brazzaville, Congo",-4.158,12.04,Amitermitinae,Wood feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
20,Termes hospes,"Mbalmayo, Cameroon",3.517,11.5,Termitinae,Wood/soil feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
21,Coptotermes formosanus,"Timehri , Guyana",6.514,-58.248,Heterotermitinae,Wood feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
22,Coxotermes bukokoensis,"Mbalmayo, Cameroon",3.517,11.5,Apicotermitinae,Soil feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
23,Thoracotermes macrothorax,"Mbalmayo, Cameroon",3.517,11.5,Cubitermitinae,Soil feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
24,Ophiotermes grandilabius,"Mbalmayo, Cameroon",3.517,11.5,Cubitermitinae,Soil feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
25,Pericapritermes chiasognatus,"Mbalmayo, Cameroon",3.517,11.5,Mirocapritermitinae,Wood/soil feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
26,Astalotermes quietus,"Mbalmayo, Cameroon",3.517,11.5,Apicotermitinae,Wood/soil feeder,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
27,Macrotermes subhyalinus,"Sar, Tchad",9.109,16.253,Macrotermitinae,Fungus grower,"Brauman, A., Doré, J., Eggleton, P., Bignell, D., Breznak, J. A., & Kane, M. D. (2001). Molecular phylogenetic profiling of prokaryotic communities in guts of termites with different feeding habits. FEMS Microbiology Ecology, 35(1), 27-36."
28,Nasutitermes arborum,NA,,,Nasutitermitinae,Wood feeder,"Schmitt-Wagner, D., & Brune, A. (1999). Hydrogen profiles and localization of methanogenic activities in the highly compartmentalized hindgut of soil-feeding higher termites (Cubitermes spp.). Applied and Environmental Microbiology, 65(10), 4490-4496."
29,Reticulitermes flavipes,NA,,,Heterotermitinae,Wood feeder,"Schmitt-Wagner, D., & Brune, A. (1999). Hydrogen profiles and localization of methanogenic activities in the highly compartmentalized hindgut of soil-feeding higher termites (Cubitermes spp.). Applied and Environmental Microbiology, 65(10), 4490-4496."
30,Anoplotermes pacificus,Brazil,-24.478,-47.713,Apicotermitinae,Wood/soil feeder,"Schmitt-Wagner, D., & Brune, A. (1999). Hydrogen profiles and localization of methanogenic activities in the highly compartmentalized hindgut of soil-feeding higher termites (Cubitermes spp.). Applied and Environmental Microbiology, 65(10), 4490-4496."
31,Cubitermes orthognathus,"Busia, Kenya ",0.469,34.114,Cubitermitinae,Soil feeder,"Schmitt-Wagner, D., & Brune, A. (1999). Hydrogen profiles and localization of methanogenic activities in the highly compartmentalized hindgut of soil-feeding higher termites (Cubitermes spp.). Applied and Environmental Microbiology, 65(10), 4490-4496."
32,Noditermes indoensis,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Schmitt-Wagner, D., & Brune, A. (1999). Hydrogen profiles and localization of methanogenic activities in the highly compartmentalized hindgut of soil-feeding higher termites (Cubitermes spp.). Applied and Environmental Microbiology, 65(10), 4490-4496."
33,Procubitermes sp. ,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Schmitt-Wagner, D., & Brune, A. (1999). Hydrogen profiles and localization of methanogenic activities in the highly compartmentalized hindgut of soil-feeding higher termites (Cubitermes spp.). Applied and Environmental Microbiology, 65(10), 4490-4496."
34,Thoracotermes macrothorax,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Schmitt-Wagner, D., & Brune, A. (1999). Hydrogen profiles and localization of methanogenic activities in the highly compartmentalized hindgut of soil-feeding higher termites (Cubitermes spp.). Applied and Environmental Microbiology, 65(10), 4490-4496."
35,Dicuspiditermes santschii,"Sabah, Malaysia",4.58,117.8,Mirocapritermitinae,Wood/soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
36,Dicuspiditermes nemorosus,"Sabah, Malaysia",4.58,117.8,Mirocapritermitinae,Wood/soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
37,Pericapritermes semarangi,"Sabah, Malaysia",4.58,117.8,Mirocapritermitinae,Wood/soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
38,Procapritermes sandakanensis,"Sabah, Malaysia",4.58,117.8,Mirocapritermitinae,Wood/soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
39,Homallotermes eleanorae,"Sabah, Malaysia",4.58,117.8,Mirocapritermitinae,Wood/soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
40,Proaciculitermes sp.,"Sabah, Malaysia",4.58,117.8,Nasutitermitinae,Wood/soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
41,Pericapritermes nitobei,"Sabah, Malaysia",4.58,117.8,Mirocapritermitinae,Wood/soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
42,Procapritermes sp,"Sabah, Malaysia",4.58,117.8,Mirocapritermitinae,Wood/soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
43,Syncapritermes sp. ,"Sabah, Malaysia",4.58,117.8,Mirocapritermitinae,Soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
44,Aciculioiditermes sp.,"Sabah, Malaysia",4.58,117.8,Nasutitermitinae,Soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
45,Labritermes kistneri,"Sabah, Malaysia",4.58,117.8,Forsminitermitinae,Soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
46,Termes borneensis,"Sabah, Malaysia",4.58,117.8,Termitinae,Wood/soil feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
47,Prohamitermes mirabilis,"Sabah, Malaysia",4.58,117.8,Amitermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
48,Bulbitermes sp.,"Sabah, Malaysia",4.58,117.8,Nasutitermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
49,Nasutitermes longinasus,"Sabah, Malaysia",4.58,117.8,Nasutitermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
50,Hypotermes xenotermitis,"Sabah, Malaysia",4.58,117.8,Macrotermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
51,Heterotermes tenuior,"Sabah, Malaysia",4.58,117.8,Heterotermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
52,Schedorhinotermes javanicus ,"Sabah, Malaysia",4.58,117.8,Rhinotermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
53,Globitermes globosus,"Sabah, Malaysia",4.58,117.8,Amitermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
54,Schedorhinotermes sarawakensis,"Sabah, Malaysia",4.58,117.8,Rhinotermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
55,Microcerotermes dubius,"Sabah, Malaysia",4.58,117.8,Amitermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
56,Microcerotermes serrula,"Sabah, Malaysia",4.58,117.8,Amitermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
57,Macrotermes malaccensis,"Sabah, Malaysia",4.58,117.8,Macrotermitinae,Fungus grower,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
58,Macrotermes malaccensis,"Sabah, Malaysia",4.58,117.8,Macrotermitinae,Fungus grower,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
59,Macrotermes gilvus,"Sabah, Malaysia",4.58,117.8,Macrotermitinae,Fungus grower,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
60,Macrotermes gilvus,"Sabah, Malaysia",4.58,117.8,Macrotermitinae,Fungus grower,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
61,Havilanditermes atripennis,"Sabah, Malaysia",4.58,117.8,Nasutitermitinae,Wood feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
62,Hospitalitermes hospitalis,"Sabah, Malaysia",4.58,117.8,Nasutitermitinae,Lichen/moss feeder,"Jeeva, D., Bignell, D. E., Eggleton, P., & Maryati, M. (1999). Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology, 24(1), 11-17."
63,Mastotermes darwiniensis,"Darwin, Australia",-12.426,130.933,Mastotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
64,Cryptotermes secundus,"Darwin, Australia",-12.426,130.933,Kalotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
65,Glyptotermes sp.,"Bangkok, Thailand",14.511,101.929,Kalotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
66,Neotermes koshunensis,Japan,35.098,35.098,Kalotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
67,Coptotermes acinaciformis,"Darwin, Australia",-12.426,130.933,Heterotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
68,Coptotermes sp.,"Bangkok, Thailand",14.511,101.929,Heterotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
69,Heterotermes vagus,"Darwin, Australia",-12.37,130.867,Heterotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
70,Reticulitermes speratus,Japan,35.098,35.098,Heterotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
71,Schedorhinotermes actuosus,"Darwin, Australia",-12.426,130.933,Rhinotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
72,Schedorhinotermes breinli,"Darwin, Australia",-12.426,130.933,Rhinotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
73,Schedorhinotermes sp.,"Bangkok, Thailand",14.511,101.929,Rhinotermitinae,Wood feeder,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
74,Macrotermes annadalei,"Bangkok, Thailand",14.511,101.929,Macrotermitinae,Fungus grower,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
75,Macrotermes annadalei,"Bangkok, Thailand",14.511,101.929,Macrotermitinae,Fungus grower,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
76,Macrotermes carbonarius,"Bangkok, Thailand",14.511,101.929,Macrotermitinae,Fungus grower,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
77,Macrotermes carbonarius,"Bangkok, Thailand",14.511,101.929,Macrotermitinae,Fungus grower,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
78,Macrotermes gilvus,"Bangkok, Thailand",14.511,101.929,Macrotermitinae,Fungus grower,"Sugimoto, A., Inoue, T., Tayasu, I., Miller, L., Takeichi, S., & Abe, T. (1998). Methane and hydrogen production in a termite-symbiont system. Ecological Research, 13(2), 241-257."
